0 0.000000 0.098539 1 1
1 4.163100 17.664264 1 2
2 36.460225 9.133061 3 1
3 9.229765 48.721722 1 3
4 52.675028 45.443342 4 3
5 23.317843 83.129179 2 5
6 93.173148 56.805961 6 4
7 55.609433 5.083191 4 1
8 76.705116 1.891480 5 1
9 25.235976 29.819717 2 2
10 87.598087 53.155686 6 4
11 92.026094 51.543115 6 4
12 81.042945 18.842025 5 2
13 88.631444 57.061402 6 4
14 7.677456 81.527388 1 5
15 98.489102 11.835171 6 1
16 89.390590 78.448364 6 5
17 10.091627 25.331063 1 2
18 1.984166 37.837747 1 3
19 67.887741 68.092304 5 5
20 75.270666 0.622945 5 1
21 62.440672 12.646243 4 1
22 61.754980 77.092826 4 5
23 18.653582 49.672170 2 3
24 50.950039 31.593900 4 2
25 70.170256 36.724663 5 3
26 87.631236 37.099466 6 3
27 52.525240 42.783456 4 3
28 54.274318 66.797859 4 5
29 17.114183 83.077914 2 5
30 86.190540 76.922114 6 5
31 5.257946 96.672964 1 6
32 33.428391 8.209654 3 1
33 27.031463 7.426237 2 1
34 67.622576 81.015855 5 5
35 46.421123 56.918505 3 4
36 51.220302 58.651033 4 4
37 73.875854 87.168881 5 6
38 57.796732 96.470359 4 6
39 33.352930 39.282797 3 3
40 17.692773 11.186902 2 1
41 85.268084 81.117183 6 5
42 95.488728 90.428320 6 6
43 13.891526 68.618734 1 5
44 12.698745 0.409020 1 1
45 0.050278 19.295192 1 2
46 58.678015 37.495915 4 3
47 2.678594 46.476529 1 3
48 78.534304 44.223482 5 3
49 28.790388 85.335295 2 6
50 52.597197 72.841672 4 5
51 26.631429 78.348402 2 5
52 46.804418 19.699735 3 2
53 44.717697 72.843978 3 5
54 96.609300 75.684078 6 5
55 46.605688 86.896644 3 6
56 13.403926 84.605258 1 6
57 1.808766 94.085480 1 6
58 67.008212 79.997154 5 5
59 14.321679 61.046031 1 4
60 90.828256 77.441472 6 5
61 36.606469 94.428798 3 6
62 88.482167 44.517109 6 3
63 16.302845 42.481730 1 3
64 47.985388 3.112832 3 1
65 60.843022 79.226117 4 5
