0 0.098539 4.163100 17.664264
1 36.460225 9.133061 9.229765
2 48.721722 52.675028 45.443342
3 23.317843 83.129179 93.173148
4 56.805961 55.609433 5.083191
5 76.705116 1.891480 25.235976
6 29.819717 87.598087 53.155686
7 92.026094 51.543115 81.042945
8 18.842025 88.631444 57.061402
9 7.677456 81.527388 98.489102
10 11.835171 89.390590 78.448364
11 10.091627 25.331063 1.984166
12 37.837747 67.887741 68.092304
13 75.270666 0.622945 62.440672
14 12.646243 61.754980 77.092826
15 18.653582 49.672170 50.950039
16 31.593900 70.170256 36.724663
17 87.631236 37.099466 52.525240
18 42.783456 54.274318 66.797859
19 17.114183 83.077914 86.190540
20 76.922114 5.257946 96.672964
